Longitude,Latitude,MedianIncome,AvgRoom,PopulationPerHousehold,MedianHouseValue,PredictedPrice,ROI,HouseAge
-120.87,37.77,3.5959,5.2416034669555795,2.6652221018418203,142700.0,138704.0,-2.800280308339173,9.0
-118.14,34.11,8.1124,6.6231884057971016,2.785024154589372,500001.0,469852.45,-6.029697940604117,52.0
-120.05,36.98,2.5288,5.315638450502152,3.533715925394548,61800.0,68227.0,10.39967637540453,16.0
-117.42,34.02,4.2321,6.357808857808858,3.513986013986014,162800.0,143636.0,-11.771498771498772,9.0
-118.26,33.97,1.5326,3.6767955801104972,3.160220994475138,90600.0,106947.0,18.043046357615893,52.0
-117.97,33.68,5.5105,6.7053941908713695,2.904564315352697,232100.0,257201.0,10.81473502800517,26.0
-118.42,34.27,2.6667,3.8959537572254335,4.670520231213873,147800.0,148370.0,0.38565629228687415,35.0
-117.96,34.02,2.375,4.204819277108434,5.542168674698795,133300.0,153400.0,15.078769692423105,33.0
-122.49,37.73,6.2642,5.9798994974874375,2.4974874371859297,438500.0,378123.07,-13.768969213226908,48.0
-118.77,34.28,5.3681,6.048421052631579,4.031578947368421,187700.0,217332.0,15.786893979754929,26.0
-116.25,33.81,3.4583,5.207100591715976,3.0,67500.0,89579.0,32.709629629629625,24.0
-121.19,38.66,6.1185,7.069343065693431,2.8065693430656933,179200.0,231763.0,29.33203125,26.0
-122.25,37.82,5.0917,5.628458498023716,2.1739130434782608,262500.0,308773.05,17.627828571428566,52.0
-121.56,39.11,2.3011,4.856823266219239,3.4161073825503356,57500.0,81565.0,41.85217391304348,18.0
-119.45,35.16,2.3912,5.652960526315789,2.932565789473684,52900.0,71721.0,35.57844990548204,34.0
-122.27,37.81,0.977,2.3157894736842106,1.5315789473684212,118800.0,194432.05,63.66334175084174,40.0
-119.7,34.41,2.8042,3.9358490566037734,3.209433962264151,236100.0,225099.0,-4.659466327827192,19.0
-115.53,34.91,2.5391,7.911764705882353,2.411764705882353,40000.0,104764.0,161.91,12.0
-120.15,39.8,3.0625,5.607142857142857,2.6142857142857143,82500.0,96902.0,17.456969696969697,19.0
-121.82,39.72,1.5064,4.3858615611192935,2.767304860088365,66300.0,67915.0,2.435897435897436,42.0
-122.22,37.37,5.1831,2.018348623853211,1.4770642201834863,350000.0,429252.43,22.643551428571428,26.0
-118.26,33.9,2.0096,4.027027027027027,3.3963963963963963,110700.0,121909.0,10.125564588979223,22.0
-121.29,38.71,3.5769,5.466472303206997,2.9941690962099123,103800.0,113133.0,8.991329479768787,32.0
-122.45,37.78,5.0156,5.752532561505065,2.1924746743849495,500001.0,408285.17,-18.343129313741375,52.0
-121.89,37.28,4.1645,6.1985611510791365,2.8805755395683454,281900.0,264032.01,-6.338414331323161,32.0
-118.02,33.95,4.2292,5.76678445229682,2.8162544169611308,179500.0,213262.0,18.80891364902507,36.0
-122.09,37.64,5.2838,5.9,3.32,172600.0,242396.01,40.43801274623407,36.0
-119.18,34.16,3.9643,4.42512077294686,3.57487922705314,186000.0,189555.0,1.911290322580645,27.0
